Accession_number,Record_number,JCB_call_number,Image_title,Creator1,Creator1_dates,Creator1_role,Creator2,Creator2_dates,Creator2_role,Creator3,Creator3_dates,Creator3_role,Place_image_published,Image_publisher,Image_date,Languages,Description,Source_creator,Source_Title,Source_place_of_publication,Source_publisher,Source_date,notes,Time_Period,References,References_exhibitions,Provenance_Donor,Commentary,SubjectArea1,SubjectArea2,SubjectArea3,SubjectArea4,SubjectHeadings1,SubjectHeadings2,SubjectHeadings3,SubjectHeadings4,SubjectHeadings5,SubjectHeadings6,SubjectHeadings7,SubjectHeadings8
840,0840-006,B553 C569p /1-SIZE,[Como antiguamente tuuiero vna esmeralda por dios en que dorauan los Indios de Manta: y otras cosas q ay q dezir destos indios],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Sacred stone of the native Americans of Manta, Ecuador, worshipped by a priest and supplicants.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Cieza de Leon writes of the leader of Manta having an emerald of great size and value which the people worshipped. Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America--Rites and ceremonies,,,,,,,
840,0840-007,B553 C569p /1-SIZE,[De los pozos que ay en la punta de sancta Elena: y de lo que cuentan de la venida que hiziero[n] los gigantes en aquella parte: y del ojo de alquitran que en ella esta],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Native Americans run from flames which come down from the sky.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Illustrates the native American legend of the giants who lived on the Santa Elena peninsula, Peru, who were driven off by a youth shining like the sun who descended from the sky and threw flames of fire at the giants. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America--Rites and ceremonies,,,,,,,
840,0840-008,B553 C569p /1-SIZE,Cuzco [De la manera y traça con que esta fundada la ciudad del Cuzco: y de los quatro caminos reales que de ella salen: y de los grades edisicios que tuuo: y quie fue el fundador],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Incan ruler, possibly symbolizing Manco Capac (adorned with the royal fringe [llautu] or crown), gesturing toward Cuzco to Francisco Pizarro.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-009,B553 C569p /1-SIZE,[De la gran laguna que esta en esta comarca del Collao: y quan honda es: y del te[m]plo de Titicaca],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Boatmen on Lake Titicaca with city in background.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Cieza de León's description of Lake Titicaca is the first published account and depiction of it. Two other Spaniards reported seeing it in 1533.Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America,,,,,,,
2677,02677-1,B569 M735d,Effigies Nicolai Monardis Medici Hispalensis: Aetatis sive anno,,,,,,,,,,Seville,Hernando Diaz,1569,Spanish,Title page with portrait of Nicolás Mondardes holding an open book. Also includes a coat of arms.,"Monardes, Nicolás, ca. 1512-1588","Dos libros, el vno que trata de todas las cosas que traen de nuestras Indias Occidentales, que siruen al vso de la medicina, y el otro que trata de la piedra bezaar. y de la yerua escuerçonera",Seville,"en casa de Hernando Diaz, en la Calle de la Sierpe",1569,,1492-1600,,,Acquired in 1859.,,Portraits,,,,Portraits,,,,,,,
14696,14696-2,BA571 J91d [F],[Ten commandments],,,,,,,,,,Mexico,Pedro Ocharte,1571,Spanish | Huastec,Two left hands with each finger labeled twice with the ten commandments. The hand on leaf 14 verso is labeled in Spanish; the hand on leaf 15 recto is labeled in Huastec.,"Juan de la Cruz, Augustinian",Doctrina christiana en la lengua Guasteca co[n] la lengua castellana ...,Mexico,En casa de Pedro Ocharte,1571,These woodcuts of hands with type-printed labels were used as mnemonic devices to teach the concept of the Ten Commandments. The Huastec or Guasteca people of the province of Vera Cruz are tribes of Maya stock who were isolated from the rest of the Maya before the coming of the Spanish and whose language and culture developed separately from the Maya.,1492-1600,"John Carter Brown Library, Annual Report, 1927, p. 9-10; http://www.vjf.cnrs.fr/celia/FichExt/Am/A_19-20_09.htm (Feb. 2004)",,Acquired in 1926.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Catholic Church--Catechisms--Huastec,Indians of Mexico--Languages--Huastec--Texts,Huastec language--Texts,,,,,
1798,01798-3,B577 M735j,[Carlo Sancto],,,,,,,,,,London,Willyam Norton,1577,,Saint Charles's root from New Spain.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,"Text describes this plant as having bark, a decoction from which cures headache, the pox, and toothache and is from Mechoacán [Michoacán], Mexico. This may be Mechocán root (similar to rhubarb) which had purgative effects, but see 01798-7. Image title from chapter title.",1492-1600,,,Acquired in 1854.,,Flora and fauna,,,,Botany--Mexico,Materia medica,,,,,,
1798,01798-5,B577 M735j,[Of a certayne kinde of Barley.],,,,,,,,,,London,Willyam Norton,1577,,Wild barley.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,"Text describes the plant as being a kind of wild barley [cebadilla] found in New Spain and somewhat poisonous, useful for treating worms, canker, and necrotic flesh. Known as green gentian or monument plant, cebadilla (Swertia radiata) was used as a laxative, febrifuge, contraceptive, and tonic. Image title from chapter title.",1492-1600,"Pardo Tomas, J. Two glimpses of America, p. 178-179",,Acquired in 1854.,,Flora and fauna,,,,Botany,Materia medica,,,,,,
1798,01798-6,B577 M735j,[The Armadilio.],,,,,,,,,,London,Willyam Norton,1577,,Armadillo.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,"Text describes the uses for powdered tail of the armadillo, chiefly for curing deafness, tinnitus, and earache.Image title from chapter title.",1492-1600,,,Acquired in 1854.,,Flora and fauna,,,,Armadillos,Materia medica,,,,,,
1798,01798-7,B577 M735j,[The Flower of Mechoacan.],,,,,,,,,,London,Willyam Norton,1577,English,The flower of Mechoacan.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,"Text describes the discovery of Mechoacan [Michoacan] root in Nicaragua and Quito which is used as a purgative. The variety (called escamonea) found on the Cape of Santa Elena, present-day Ecuador, is so strong that it poisoned as often as cured a patient. This is probably a variety or perceived variety of Convolvulus or kind of bindweed used in Europe as a purgative and anthelmintic. Known as white rhubarb, scammony, or briony of America, the root was dried and powdered for use (see Pierre Pomet, Histoire generale des drogues, Paris, 1694).Image title from chapter title.",1492-1600,http://www.bookofherbs.com/m/Mechoacan_ruggs.htm (Feb. 2009),,Acquired in 1854.,,Flora and fauna,,,,Botany,Materia medica,,,,,,
1798,01798-8,B577 M735j,[The fruite of Balsamo.],,,,,,,,,,London,Willyam Norton,1577,,The fruit of the balsam of Peru.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,Text describes the production of balsam resin (Balsamum peruvianum) in New Spain and its use as a remedy for head ailments. The tree (Myroxylon toluifera) is incised and the resin is collected and extracted.Image title from chapter title.,1492-1600,,,Acquired in 1854.,,Flora and fauna,,,,Botany,Materia medica,,,,,,
1798,01798-9,B577 M735j,[Long Peper.],,,,,,,,,,London,Willyam Norton,1577,,Long pepper or chili pepper.,"Monardes, Nicolás, ca. 1512-1588","[Historia medicinal. English] Ioyfull nevves out of the newe founde worlde, wherein is declared the rare and singular vertues of diuerse and sundrie hearbes, trees, oyles, plantes and stones",London,"Poules Churche-yearde, by Willyam Norton",1577,"Text describes the biting taste of the long or chili pepper (Capsicum annum) from Cartagena, Colombia.Image title from chapter title.",1492-1600,,,Acquired in 1854.,,Flora and fauna,,,,Botany,Materia medica,,,,,,
6009,6009-3,Z 077 1598 1 / 3-SIZE (copy 2),"Hispaniae novae sivae magnae, recens et vera descriptio. 1579.",Abraham Ortelius,1527-1598,,,,,,,,Antwerp,Plantin Press,1579,Latin,"Map of New Spain showing part of Mexico. Cartographic elements include lines of latitude and longitude, location of rivers and some settlements. Decorative elements include ships, birds, and angels. Images are lettered for identification in table at bottom right.","Ortelius, Abraham, 1527-1598","[Theatrum orbis terrarum. French] Theatre de l'univers, contenant les cartes de tout le monde",Antwerp,"de l'Imprimerie Plantienne, pour Abraham Ortel autheur mesme de ce liure",1598,"Ortelius was the creator of the first true atlas (defined as a collection of uniform map sheets and sustaining text bound to form a book for which copper printing plates were specifically engraved). Frequently revised, this atlas was the last one to be printed during Ortelius's lifetime. The sources of this map are unclear.",1492-1600,"Broecke, M.P.R. van den Ortelius Atlas Maps, No. 13; Cline, H.H. ""Ortelius maps of New Spain,"" Imago Mundi XVI, p. 98-115; Koeman, C. Atlantes neerlandici, Ort. 36; Skelton, R.A. Bib. note, in Facsimile ed. of Ortelius, A. Theatrum orbis terrarum, p. ix",,Acquired in 1909.,Susan_Danforth@brown.edu,"Geography, maps, city views and plans",,,,Mexico--Maps,,,,,,,
3390,03390-001,B581 Z36d,[Title page] The Riche Mines of Potossi,,,,,,,,,,London,Richard Ihones,1581,English,"Mine at Potosí. Details include chapel at top, settlement, and dwellings at the bottom. Also seen are the paths up the mountain.","Zárate, Agustin de, b. 1514",The discoverie and conqvest of the prouinces of Peru,London,By Richard Ihones,1581,The mines at Potosí were discovered by Diego Hualca in 1544. The silver mines there were among the richest in the world.,1492-1600,,,Acquired before 1865.,,"Geography, maps, city views and plans",,,,Mines and mineral resources--Peru,,,,,,,
3390,03390-1,B581 Z36d,[Title page] The Riche Mines of Potossi,,,,,,,,,,London,Richard Ihones,1581,English,"Mine at Potosí. Details include chapel at top, settlement, and dwellings at the bottom. Also seen are the paths up the mountain.","Zárate, Agustin de, b. 1514",The discoverie and conqvest of the prouinces of Peru,London,By Richard Ihones,1581,The mines at Potosí were discovered by Diego Hualca in 1544. The silver mines there were among the richest in the world.,1492-1600,,,Acquired before 1865.,Susan_Danforth@brown.edu,"Geography, maps, city views and plans",,,,Mines and mineral resources--Peru,,,,,,,
35313,35313-1,J590 B915v GVL6 / 2-SIZE,[Title page],,,,,,,,,,Frankfurt,Theodor de Bry,1596,Latin,"Title page showing Atahualpa [or Atabalipa] adorned with jewelry and carrying a sceptre being carried on a litter by native Americans. Includes scenes of mining by native Americans. Also includes musical instruments such as drum, pipes, and trumpet, swords, scene of warfare, baskets, winches, hoes, shovels, bows, arrows, ships, and boat.",,"[America. Pt 6. Latin] Americae pars sexta, sive Historiae ab Hieronymo Be[n]sono Mediolane[s]se scriptae, section tertia",Frankfurt,Theodoro de Bry,1596,"Illustrating the conquest of the Incas, this part of Benzoni's work describes the Spanish attempt to control Peru. The mining scene may be of silver mining at Potosí.This work was published by Theodor de Bry and is derived from the third part of Girolamo Benzoni, Historia del mondo nuovo, Venice, 1565. Theodor de Bry's America. Pt. 6. Latin. Imprint information from colophon.",1492-1600,"Church, E.D. Discovery, 158","Danforth, S. Encountering the New World, Fig. 30",Acquired before 1865.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Indians of South America--Wars,Mines and mineral resources--South America,,,,,,
6860,06860-3,H598 V411h,[Soldier of Peru],,,,,,,,,,Venice,Sessa,1598,,"Native American soldier from Peru. He holds a stone in one hand. Includes padded vest over a tunic, helmet, sword, and a slingshot with stone.","Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text describes the helmet and tunic as being made of quilted cotton. The tunic was made of cloth of many colors.Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger. Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Clothing and dress--Peru,Indians of South America--Peru,,,,,,
6860,06860-5,H598 V411h,[Women of Peru],,,,,,,,,,Venice,Sessa,1598,,"Native American women from Peru. Clothed in a dress of striped woven cotton with a wide belt of striped cotton around her waist, one woman holds a drop spindle in one hand and makes yarn. Another woman wearing a cloak stands in the background.","Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text decribes the striped and multi-colored material used to clothe the women.Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Clothing and dress--Peru,Indians of South America--Peru,,,,,,
6860,06860-6,H598 V411h,[Mexican youth],,,,,,,,,,Venice,Sessa,1598,,Native American youth or young man from Mexico holds flowers in one hand and a mirror in the other. He wears a flowered tunic. Behind him another young man holds a bow and wears a feathered headdress.,"Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text describes the clothing from Mexico as being very delicate and made out of flowers [perhaps the author is describing ayate or a cloth that is woven from fiber from an agave plant]. In the province named Chichenecha [of the Chichimecs], the inhabitants go about practically naked because of the great heat.Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Agaves,Indians of Mexico--Clothing,Clothing and dress--Mexico,,,,,
6860,06860-7,H598 V411h,[Nobleman of Mexico],,,,,,,,,,Venice,Sessa,1598,,Native American man from Mexico holds flowers in one hand. He wears a striped cloak and turban.,"Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text describes the clothing of the noblemen of Mexico. They wore a striped mantle or cloak over tunics made from flowers [perhaps the author is describing ayate or a cloth that is woven from fiber from an agave plant]. Their hats were adorned with images of the sun and moon.Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Indians of Mexico--Clothing,Clothing and dress--Mexico,,,,,,
6860,06860-2,H598 V411h,"[Nobleman of Cusco, Peru]",,,,,,,,,,Venice,Sessa,1598,,"Native American nobleman from Cusco, Peru. Includes feathered headdress and cloak.","Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger. Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Clothing and dress--Peru,Indians of South America--Peru,,,,,,
6860,06860-4,H598 V411h,[Soldier of Peru],,,,,,,,,,Venice,Sessa,1598,,"Native American soldier from Peru. He holds a shield in one hand and a spear in the other. Includes armor, helmet, sword, and padded vest over a tunic.","Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text describes this soldier as being similar to the previous one with the exception of his shield and lance made from a very hard palm, as strong as iron.Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Clothing and dress--Peru,Indians of South America--Peru,,,,,,
6860,06860-1,H598 V411h,[Man of Peru],,,,,,,,,,Venice,Sessa,1598,,"Native American from Peru. Includes spear, flask [?] hanging across chest, and tunic.","Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,Indigenous peoples,,,,Clothing and dress--Peru,Indians of South America--Peru,,,,,,
6860,06860-8,H598 V411h,[Noblewomen of Mexico],,,,,,,,,,Venice,Sessa,1598,,Native American noblewomen from Mexico and Nicaragua wear striped garments and hold a piece of cloth in their hands.,"Vecellio, Cesare, ca. 1521-1601",[De gli habiti antichi et moderni] Habiti antichi et moderni di tutto il mondo,Venice,Appresso i Sessa,1598,"The text describes the clothing of the women being made of brightly-colored striped wool. They wore linen cloths which they wrapped around their heads to show respect or for attending church. Vecellio's popular book on costumes included not only the dress of his native Venice, but clothing from ancient times and from the Americas along with social commentary about the illustrated people and their attire. The woodcuts for this book were created by Christoph Krieger.Image title taken from text.",1492-1600,http://www.neh.gov/news/humanities/2005-01/translating.html (May 2009),,Acquired in 1884.,,Indigenous peoples,,,,Indians of Mexico--Clothing,,,,,,,
